source,target,relationship_type
REAG - CAPITAL HOLDING S.A,KATIA APARECIDA ROCHA MORONI,company_to_socio
REAG - PAR LTDA. LIQUIDACAO,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - PAR LTDA. LIQUIDACAO,REAG CAPITAL HOLDING S.A.,company_to_socio
REAG - PAR LTDA. LIQUIDACAO,LEONARDO DE SOUZA CARVALHO,company_to_socio
REAG - AMBIENTAL GESTAO DE RECURSOS LTDA,REAG ASSET MANAGEMENT S.A.,company_to_socio
REAG - AMBIENTAL GESTAO DE RECURSOS LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - AMBIENTAL GESTAO DE RECURSOS LTDA,CARLOS ALBERTO HEITOR DE FARIAS MAGGIOLI FILHO,company_to_socio
REAG - AMBIENTAL GESTAO DE RECURSOS LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - AMBIENTAL GESTAO DE RECURSOS LTDA,AQUILES FELDMAN,company_to_socio
REAG - AMBIENTAL GESTAO DE RECURSOS LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - AMBIENTAL GESTAO DE RECURSOS LTDA,FABIANA FRANCO,company_to_socio
REAG - AMBIENTAL GESTAO DE RECURSOS LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - PORTFOLIO SOLUTIONS LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - PORTFOLIO SOLUTIONS LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - PORTFOLIO SOLUTIONS LTDA,REAG WM GESTORA DE PATRIMONIO LTDA,company_to_socio
REAG - PORTFOLIO SOLUTIONS LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - PORTFOLIO SOLUTIONS LTDA,AQUILES FELDMAN,company_to_socio
REAG - PORTFOLIO SOLUTIONS LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - PORTFOLIO SOLUTIONS LTDA,FABIANA FRANCO,company_to_socio
REAG - PORTFOLIO SOLUTIONS LTDA,GIULIANA NIGRO ARGESE,company_to_socio
REAG - AGRO INVESTIMENTOS LTDA,GIOVANNA UMBELINO BORGES,company_to_socio
REAG - AGRO INVESTIMENTOS LTDA,ANA CRISTINA UMBELINO DOS SANTOS BORGES,company_to_socio
REAG - AGRO INVESTIMENTOS LTDA,LAZARO REGIS BORGES,company_to_socio
REAG - BCS HOLDING FINANCEIRA LTDA,JOAO CARLOS FALBO MANSUR,company_to_socio
REAG - BCS HOLDING FINANCEIRA LTDA,REAG CAPITAL HOLDING S.A.,company_to_socio
REAG - VENTURE CAPITAL & GROWTH EQUITIES LTDA,REAG ASSET MANAGEMENT S.A.,company_to_socio
REAG - VENTURE CAPITAL & GROWTH EQUITIES LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - VENTURE CAPITAL & GROWTH EQUITIES LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - VENTURE CAPITAL & GROWTH EQUITIES LTDA,CARLOS ALBERTO HEITOR DE FARIAS MAGGIOLI FILHO,company_to_socio
REAG - VENTURE CAPITAL & GROWTH EQUITIES LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - VENTURE CAPITAL & GROWTH EQUITIES LTDA,AQUILES FELDMAN,company_to_socio
REAG - VENTURE CAPITAL & GROWTH EQUITIES LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - VENTURE CAPITAL & GROWTH EQUITIES LTDA,FABIANA FRANCO,company_to_socio
REAG - GESTAO DE FUNDOS IMOBILIARIOS LDA.,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - GESTAO DE FUNDOS IMOBILIARIOS LDA.,REAG ASSET MANAGEMENT S.A.,company_to_socio
REAG - GESTAO DE FUNDOS IMOBILIARIOS LDA.,DARIO GRAZIATO TANURE,company_to_socio
REAG - GESTAO DE FUNDOS IMOBILIARIOS LDA.,CARLOS ALBERTO HEITOR DE FARIAS MAGGIOLI FILHO,company_to_socio
REAG - GESTAO DE FUNDOS IMOBILIARIOS LDA.,AQUILES FELDMAN,company_to_socio
REAG - GESTAO DE FUNDOS IMOBILIARIOS LDA.,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - GESTAO DE FUNDOS IMOBILIARIOS LDA.,FABIANA FRANCO,company_to_socio
REAG - TRANSPORTES LTDA,EDMILSON QUIRINO DA SILVA,company_to_socio
REAG - 80 PARTICIPACOES LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - 80 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - 72 PARTICIPACOES LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - 72 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - 64 PARTICIPACOES LTDA,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - 64 PARTICIPACOES LTDA,IDUNA FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,company_to_socio
REAG - TRUST ADMINISTRACAO DE RECURSOS LTDA,RPN PARTNERS PARTICIPACOES LTDA,company_to_socio
